Nombre	Warm Up	Ejercicio 1.1	Serie-Reps 1.1	% 1.1	Ejercicio 1.2	Serie-Reps 1.2	% 1.2	Intermedio 1	Ejercicio 2.1	Serie-Reps 2.1	% 2.1	Ejercicio 2.2	Serie-Reps 2.2	% 2.2	Intermedio 2	Ejercicio 3.1	Serie-Reps 3.1	% 3.1	Ejercicio 3.2	Serie-Reps 3.2	% 3.2	extra	Observaciones	Imagen 1	Imagen 2	Imagen 3	Imagen 4	Imagen 5	Imagen 6	Imagen 7	Imagen 8	Imagen 9	Column 36	Column 35	TEST
20/1/2025   CATEGORIA MAYOR	Dynamic  warm up/ 20  jumping jackets/ 10 Burpees / 10 pop squats/ 10 squat jump/  10 split jump.	PWR CLEAN	3 x 8	75 % 1 rm	DB STANDING ALT SHOULDER PRESS   	3 X 8	75 % 1 rm	SHOULDER PLATE 3 X 12 PLATE 45LBS	 BB UPRIGHT ROW	3 X 8	MD WT	DB HIGH ROW     	2 X 6	HG WT	SPLIT CABLE ROTATION 2 X 15 RAPIDO Y EXPLOSIVO 	GOOD MORNINGS	3 X 10	MD WT	SERIE DE TRINEO	2 X 40 YDS                     2 X 25 YDS                   2 X 10 YDS	 NO WT                   45 LBS            55 LBS	BANDED                  2 X15 FWD                         2 X15 SHUFFLE         2 X15 BACK PEDAL	LA SERIE DE TRINEO ES A FULL SPEED EMPUJANDO Y LEVANTANDO LAS RODILLAS ( BAJAR Y SUBIR TRINEOS Y PLATES DESPUES DE CADA EJERCICIO).												
20/01/2025  CATEGORIA JUVENIL	Dynamic  warm up/ 20  jumping jackets/ 10 Burpees / 10 pop squats/ 10 squat jump/  10 split jump.	SNATCH SQUAT	2 X 10	45% 1 RM	BB STANDING  SHOULDER PRESS 4 TIEMPOS	3 X 6	75% 1 RM	ROTATION  CABLE CORE                 3 X 8 EXPLOSIVO	DB FLYS	3 X 12	MD WT	HIP THRUST	3 X 6	85 % 1RM	RUSSIAN TWIST  3 X 15 PLATE 	BB RDL	3 X 8	75% 1RM	BOX JUMP	3 X 6	MED BALL	8 X 100 YDS	REALIZAR SPRINTS EN EL CAMPO, CON DESCANSO DE 1 MINUTO ENTRE CADA SPRINT.												
21/1/2025   CATEGORIA MAYOR	Dynamic  warm up/ 20  jumping jackets/ 10 Burpees / 10 pop squats/ 10 squat jump/  10 split jump.	BACK SQUAT	3-4 X 10-12 REPS	75% 1 RM	NEUTRAL PULL UPS                 	5 x 5	BODY WT	GOBLET DESPLANTE LATERAL CON BOSU                                                  2 X 8 EACH LEG	BENCH PRESS	3 X 8-10 	80%1RM	DB BICEP CURL & PWR PRESS	3 X 6	MD WT	BANDED  EXPLOSIVE PUSH UPS                           2 X 15	HARNESS NECK FOUR WAYS	2 X 4 X 10 EACH SIDE	CABLE MACHINE	SERIES DE ESCALERA CON GRILLETES POR POSICIÓN	2 X 6	ESCALERA	2 X 30 V UPS /  2 X 6 SALTOS VERTICALES													
21/1/2025   CATEGORIA JUVENIL	Dynamic  warm up/ 20  jumping jackets/ 10 Burpees / 10 pop squats/ 10 squat jump/  10 split jump.	BACK SQUAT	3 X 12	75% 1RM	DB ROW 	3 X 8 EACH ARM	MD WT	 GOBLET DESPLANTE LATERAL CON BOSU 2 X 8 EACH LEG	BENCH PRESS	4 X 12	75% 1 RM	DB BICEP CURL & PWR PRESS	2 X 15	MD WT	PUSH UP RELEAS 4 X 10	NECK PLATE	4 X 10	PLATE	PLATE SKATERS	2 X 15 TOTALES	PLATES	4 X 10 V UPS													
23/1/2025   CATEGORIA MAYOR	Dynamic  warm up/ 20  jumping jackets/ 10 Burpees / 10 pop squats/ 10 squat jump/  10 split jump.	PWR CLEAN	5 X 3	75% 1RM	DB ARNOLD SHOULDER PRESS	2 X 12	HG WT 4 TIEMPOS	EXPLOSIVE KETTLEBELL SWING  3 X 8	KETTLEBELL DOUBLE SNATCH	3 X 10	18/20 KGS	DB RDL 	2 X 12	MD WT	3 X 20 SUPERMANS	BB HIP THRUST	4 X 12	75% 1 RM	DUMMIES SERIES	X 2  Cheat /Straight / lateral/  shuffle/  fwd & bwd / Pwr hips---Run 5 yds	6 AGILE DUMMIES	CHANGE DIRECTION SERIES	 x 4 each side Skaters( pwr jump & react) / skaters opposite hand / skaters jump vertical & across/  step fwd & skate landing / jump & 45 degree landing / x2 each side: 5 yds, plant  & up the field / x 2  sprint pusuit curve each side 												
23/1/2025   CATEGORIA JUVENIL	Dynamic  warm up/ 20  jumping jackets/ 10 Burpees / 10 pop squats/ 10 squat jump/  10 split jump.	PWR CLEAN	3 X 5	75 % 1RM	DB BILATERAL SHOULDER PRESS	2 X 15	 HG WT 4 TIEMPOS	PLATE SHOULDER FRONT 2 X 12	DB RDL                    ( BILATERAL)	2 X 10 4 TIEMPOS	DB HG WT	BB HIP THRUST	2 X 10	75% 1RM	FLOOR HIP THRUST SINGLE LEG  2 X 10 EXPLOSIVO	BB UPRIGHT ROW	2 X 10	75 % 1RM	RUSSIAN TWIST	3 X 10	PLATE  	SPRINTS                    100 YDS	8 X 100 YDS												
24/1/2025   CATEGORIA MAYOR	Dynamic  warm up/ 20  jumping jackets/ 10 Burpees / 10 pop squats/ 10 squat jump/  10 split jump.	FRONT  SQUAT 4 TIEMPOS	2 X 8	75% 1 RM	CHIN UPS	3 X 6	CHALECO	DB REVERSE LOUNGE  2 X 8	INCLINE BENCH PRESS 4 TIEMPOS	3 X 12	75 % 1RM	BARBELL  Z CURL	3 X 8	MD WT 4 TIEMPOS	DIPS CON CHALECO 3 X 6	DB ALT BENCH PRESS 10 EXPLOSIVAS EACH ARM	2 X 8  EXPLOSIVO 1 BRAZO PRIMERO Y LUEGO EL OTRO MANTENIENDO ARRIBA LA OTRA MANCUERNA	LT WT EXPLOSIVO	NECK PLATE	3 X 10	PLATE	NO FIELD	NO FIELD												
24/1/2025   CATEGORIA JUVENIL	Dynamic  warm up/ 20  jumping jackets/ 10 Burpees / 10 pop squats/ 10 squat jump/  10 split jump.	FRONT SQUAT	2 X 10 	75% 1RM	DB PWR HIGH ROW	2 X 6	HG WT DB BILATERAL EN BANCO		FLOOR BENCH PRESS	2 X 10	75% 1 RM 	DIPS CON CHALECO	2 X 8	CHALECO		BARBELL Z CURL	2 X 8	MD WT 	NECK PLATE	3 X 10	PLATE	FBA	FBA												
27/1/2025   CATEGORIA MAYOR	Dynamic  warm up/ 20  jumping jackets/ 10 Burpees / 10 pop squats/ 10 squat jump/  10 split jump.	PWR CLEAN	4 X 4 	1 55%        1 60%        1 75%            1 85%       	BB STANDING  SHOULDER PWR PRESS   	4 X 4 	1 55%        1 60%        1 75%            1 85%       	SHOULDER PLATE 3 X 12 PLATE 45LBS	 BB                             PWR                            HIGH PULL	5 X 3	55%1RM	DB EXPLOSIVE SINGLE ARM ROW    	2 X 6 EACH SIDE	MD WT	SPLIT CABLE ROTATION  3 X 5 RAPIDO Y EXPLOSIVO  EACH SIDE	RDL SINGLE LEG	2 X 6	MD WT	SERIE DE TRINEO	2 X 40 YDS                     2 X 25 YDS                   2 X 10 YDS	 NO WT                   45 LBS            55 LBS	BANDED                  2 X15 FWD                         2 X15 SHUFFLE         2 X15 BACK PEDAL	LA SERIE DE TRINEO ES A FULL SPEED EMPUJANDO Y LEVANTANDO LAS RODILLAS ( BAJAR Y SUBIR TRINEOS Y PLATES DESPUES DE CADA EJERCICIO).												
27/01/2025   CATEGORIA JUVENIL	Dynamic  warm up/ 20  jumping jackets/ 10 Burpees / 10 pop squats/ 10 squat jump/  10 split jump.	SNATCH SQUAT	2 X 10	45% 1 RM	BB STANDING  SHOULDER PRESS 4 TIEMPOS	3 X 6	75% 1 RM	ROTATION  CABLE CORE                 3 X 8 EXPLOSIVO	DB FLYS	3 X 8	MD WT	HIP THRUST	3 X 6	85 % 1RM	RUSSIAN TWIST  3 X 15 PLATE 	BB RDL	3 X 8	75% 1RM	BOX JUMP	3 X 6	MED BALL	FBA	FBA												
